X,Y,T,A
486311.72823751176,4419008.073027148,205.0,205.0
486109.581546032,4418900.405103711,255.0,255.0
486496.27682372025,4419298.49426676,255.0,255.0
486503.60055711726,4419328.652502993,255.0,255.0
486340.1637006453,4419187.662290451,259.0,259.0
486305.0292331558,4419147.417262824,257.0,257.0
486256.3908866,4418408.498252904,258.0,258.0
486333.4690922071,4418351.674825982,206.0,206.0
486340.1637006453,4419187.662290451,260.0,260.0
486256.3908866,4418408.498252904,263.0,263.0
486903.95243259484,4418571.398463292,263.0,263.0
486110.9684738036,4418738.883451724,265.0,265.0
486330.8462294812,4419016.164418843,266.0,266.0
